STATE,COUNTY,B19013_001E_2018,B01001_001E_2018,B25058_001E_2018,B19013_001E_2019,B01001_001E_2019,B25058_001E_2019,B19013_001E_2021,B01001_001E_2021,B25058_001E_2021,B19013_001E_2022,B01001_001E_2022,B25058_001E_2022
13,157,73150,70422,544,65063,72977,599,72116.0,80286.0,731.0,83843.0,83936.0,821.0
13,185,34886,116321,582,45683,117406,651,42242.0,119276.0,670.0,52307.0,119739.0,817.0
13,215,47288,194160,676,46934,195769,729,52734.0,205617.0,726.0,53750.0,202616.0,807.0
13,217,57344,109541,851,57254,111744,834,75589.0,115355.0,993.0,73579.0,117621.0,1041.0
13,223,73084,164044,991,75800,168667,1031,93815.0,173780.0,1304.0,86847.0,178421.0,1169.0
13,245,39413,201554,678,44973,202518,719,48048.0,205673.0,770.0,49915.0,206640.0,786.0
13,247,61222,90594,956,60560,90896,875,66267.0,94082.0,935.0,73998.0,94984.0,1199.0
13,255,42920,66100,645,51677,66703,548,54585.0,67909.0,719.0,54803.0,68919.0,755.0
13,285,44260,70034,610,46198,69922,581,49187.0,69720.0,638.0,57988.0,70191.0,767.0
13,295,42609,69410,577,47856,69761,499,43672.0,68510.0,545.0,52957.0,68915.0,667.0
13,297,66640,93503,752,66176,94593,743,73151.0,99853.0,753.0,86240.0,103065.0,875.0
13,313,45028,104062,588,52198,104628,591,55519.0,102848.0,673.0,61037.0,103132.0,729.0
15,001,57571,200983,999,67075,201513,1057,69473.0,202906.0,1149.0,72568.0,206315.0,1115.0
15,003,84423,980080,1593,87470,974563,1647,90704.0,1000890.0,1771.0,96580.0,995638.0,1738.0
15,007,80921,72133,1184,81971,72293,1179,80582.0,73454.0,1478.0,87730.0,73810.0,1636.0
15,009,82885,167218,1515,80754,167488,1506,76273.0,164268.0,1422.0,94760.0,164365.0,1464.0
16,001,66405,469966,908,72021,481587,997,79279.0,511931.0,1205.0,87774.0,518907.0,1388.0
16,005,50748,87138,583,51989,87808,576,60736.0,88263.0,668.0,61452.0,89517.0,744.0
16,019,58729,116854,659,64618,119062,682,68614.0,127930.0,780.0,74154.0,129496.0,934.0
16,027,53374,223499,707,58945,229849,818,64314.0,243115.0,936.0,70818.0,251065.0,1108.0
16,055,55236,161505,869,62579,165697,849,67593.0,179789.0,1073.0,75328.0,183578.0,1303.0
16,083,51196,86081,622,56276,86878,669,52880.0,92243.0,687.0,63560.0,93696.0,881.0
17,001,56699,65691,626,55727,65435,643,,,,,,
17,019,52725,209983,703,52405,209689,773,56847.0,205943.0,800.0,60168.0,206542.0,799.0
17,031,63353,5180493,978,69429,5150233,1014,72092.0,5173146.0,1113.0,76632.0,5109292.0,1161.0
17,037,63085,104143,797,64131,104897,810,65615.0,100414.0,817.0,68590.0,100232.0,803.0
17,043,93750,928589,1194,96403,922921,1222,99577.0,924885.0,1348.0,102152.0,920901.0,1392.0
17,089,79818,534216,988,84368,532403,970,91336.0,515588.0,1097.0,93343.0,514182.0,1146.0
17,091,51404,110024,731,60923,109862,772,63364.0,106601.0,739.0,71416.0,106074.0,795.0
17,093,89862,127915,1341,104858,128990,1408,91560.0,134867.0,1066.0,101447.0,137254.0,1297.0
17,097,87133,700832,1045,92511,696535,1072,95796.0,711239.0,1147.0,101442.0,709150.0,1207.0
17,099,51838,109430,584,59130,108669,630,64673.0,108965.0,639.0,63626.0,108078.0,722.0
17,111,85275,308570,1019,88879,307774,1043,91887.0,311122.0,1113.0,98907.0,311747.0,997.0
17,113,66256,172828,713,68784,171517,714,69612.0,170889.0,745.0,70674.0,171141.0,803.0
17,115,50066,104712,552,50839,104009,500,46807.0,102432.0,521.0,60332.0,101483.0,575.0
17,119,59987,264461,639,67440,262966,637,65663.0,264490.0,721.0,66996.0,263864.0,699.0
17,143,56138,180621,641,57247,179179,614,55949.0,179432.0,654.0,65301.0,178383.0,691.0
17,161,52148,143477,624,58313,141879,613,57895.0,142909.0,685.0,62086.0,141527.0,669.0
17,163,59141,261059,641,57169,259686,590,67530.0,254796.0,728.0,67395.0,252671.0,759.0
17,167,61997,195348,663,61280,194672,647,68466.0,194734.0,677.0,73784.0,194534.0,719.0
17,179,60857,132328,606,65848,131803,594,63621.0,130413.0,641.0,72930.0,129911.0,671.0
17,183,43655,76806,493,43111,75758,508,49091.0,73095.0,577.0,51515.0,72337.0,547.0
17,197,85818,692310,974,90134,690743,964,93752.0,697252.0,1106.0,96668.0,696757.0,1163.0
17,199,43568,67056,533,58097,66597,626,54859.0,66879.0,650.0,67631.0,66695.0,613.0
17,201,53345,284081,651,59455,282572,680,56132.0,283119.0,733.0,62011.0,282188.0,755.0
18,003,54260,375351,624,56519,379299,626,62542.0,388608.0,697.0,65732.0,391449.0,778.0
18,005,62047,82753,732,72555,83779,770,73564.0,82475.0,847.0,65739.0,83540.0,807.0
18,011,81145,66999,850,70813,67843,885,98867.0,73052.0,1003.0,102005.0,74164.0,955.0
18,019,56307,117360,675,59064,118302,710,62231.0,122738.0,735.0,68350.0,124237.0,831.0
18,035,41662,114772,611,45065,114135,579,50497.0,111871.0,595.0,54087.0,112031.0,681.0
18,039,58350,205560,667,54531,206341,697,60143.0,206921.0,754.0,61922.0,206890.0,792.0
18,043,66391,77781,685,63219,78522,673,66596.0,80454.0,765.0,73899.0,80714.0,838.0
18,053,44839,65936,466,47206,65769,554,49401.0,66263.0,560.0,50366.0,66022.0,612.0
18,057,100209,330086,1053,105062,338011,1074,102452.0,356650.0,1206.0,114807.0,364921.0,1283.0
18,059,71653,76351,739,69392,78168,805,79182.0,81789.0,830.0,86504.0,83070.0,934.0
18,063,80582,167009,878,85381,170311,980,89228.0,179355.0,1031.0,93193.0,182534.0,1140.0
18,067,55868,82366,565,53440,82544,569,55088.0,83687.0,714.0,55297.0,83574.0,699.0
18,081,68209,156225,758,73651,158167,795,78697.0,164298.0,901.0,81670.0,165782.0,1020.0
18,085,55253,79344,625,64099,79456,536,65540.0,80106.0,759.0,68778.0,80826.0,811.0
18,089,55154,484411,722,57081,485493,750,61443.0,498558.0,797.0,66085.0,499689.0,823.0
18,091,51584,110007,624,56019,109888,610,63714.0,112390.0,764.0,66659.0,111675.0,740.0
18,095,49615,129641,594,55142,129569,609,53785.0,130782.0,608.0,58937.0,131744.0,628.0
18,097,47780,954670,711,50458,964582,731,58560.0,971102.0,799.0,62565.0,969466.0,850.0
18,105,47369,146917,760,52453,148431,823,51945.0,139875.0,871.0,65043.0,139745.0,903.0
18,109,68338,70116,624,62862,70489,683,67848.0,72206.0,703.0,75344.0,72236.0,770.0
18,127,66476,169594,814,72483,170389,775,80547.0,174243.0,915.0,83395.0,174791.0,910.0
18,141,54434,270771,677,53456,271826,697,59189.0,272212.0,732.0,60627.0,272234.0,829.0
18,157,50256,193048,698,49352,195732,747,52617.0,187076.0,772.0,54168.0,188717.0,861.0
18,163,50325,180974,600,51350,181451,643,53171.0,179987.0,670.0,57028.0,179744.0,716.0
18,167,48961,107386,546,48013,107038,549,46802.0,105994.0,628.0,51125.0,106006.0,657.0
18,177,44928,65936,485,47944,65884,496,50138.0,66456.0,559.0,49024.0,66273.0,549.0
19,013,51920,132408,637,60506,131228,687,60264.0,130368.0,693.0,60529.0,130274.0,763.0
19,049,83990,90180,933,94885,93453,995,90750.0,103796.0,954.0,105132.0,108016.0,1183.0
19,061,60225,96854,616,62178,97311,673,75590.0,98718.0,703.0,73671.0,98677.0,754.0
19,103,63035,151260,861,66011,151140,862,67134.0,154748.0,864.0,74140.0,156420.0,919.0
19,113,64103,225909,623,63559,226706,648,69420.0,228939.0,708.0,72527.0,229033.0,722.0
19,153,68291,487204,785,66918,490161,825,73292.0,496844.0,870.0,77038.0,501089.0,929.0
19,155,55376,93533,721,60056,93206,734,66542.0,93304.0,734.0,68681.0,93173.0,808.0
19,163,58175,173283,680,65122,172943,679,65566.0,174170.0,742.0,66832.0,173924.0,795.0
19,169,54586,98105,790,63107,97117,841,63774.0,99472.0,787.0,66033.0,99673.0,808.0
19,193,61516,102539,632,58945,103107,689,59376.0,105607.0,694.0,67817.0,105671.0,793.0
20,015,64898,66765,672,61951,66911,650,71274.0,67889.0,642.0,80853.0,68240.0,701.0
20,045,54668,121436,796,64233,122259,789,56576.0,119363.0,746.0,65774.0,119964.0,828.0
20,091,86746,597555,928,91771,602401,971,92945.0,613219.0,1059.0,98523.0,619195.0,1145.0
20,103,71071,81352,762,77070,81758,728,83028.0,82184.0,792.0,77925.0,82892.0,959.0
20,161,44697,73703,720,50920,74232,740,57335.0,72208.0,760.0,53043.0,71108.0,815.0
20,173,55882,513607,608,59716,516042,654,60364.0,523828.0,694.0,64286.0,525525.0,732.0
20,177,52104,177499,649,59441,176875,657,55499.0,178264.0,638.0,60544.0,177480.0,682.0
20,209,47285,165324,667,46964,165429,676,55605.0,167046.0,763.0,59362.0,165746.0,796.0
21,015,77429,131533,846,76443,133581,855,83877.0,137412.0,1010.0,89931.0,139093.0,1086.0
21,029,58119,81069,664,65560,81676,662,68269.0,82918.0,726.0,76810.0,83836.0,760.0
21,037,59524,93152,677,66439,93584,671,71701.0,93050.0,820.0,72967.0,93300.0,905.0
21,047,38448,71671,668,47445,70461,686,47754.0,72357.0,736.0,60767.0,73037.0,770.0
21,059,50934,101104,560,50964,101511,615,59307.0,103063.0,575.0,66837.0,103222.0,621.0
21,067,54896,323780,755,58356,323152,789,60942.0,321793.0,839.0,62908.0,320347.0,878.0
21,093,50981,110356,651,57463,110958,685,61089.0,111607.0,690.0,60878.0,111862.0,734.0
